length, count
1, 626178
2, 1002780
3, 1861777
4, 2621908
5, 3403792
6, 4231537
7, 5047556
8, 5859870
9, 6700532
10, 7467325
11, 8331282
12, 9079591
13, 9921254
14, 10704554
15, 11496026
16, 12243869
17, 12909963
18, 13690205
19, 14267244
20, 15020181
21, 15508617
22, 16229186
23, 16623446
24, 17303802
25, 17600983
26, 18246093
27, 18477842
28, 19114465
29, 19197583
30, 19810036
31, 19797150
32, 20359575
33, 20300524
34, 20797331
35, 20690581
36, 21151904
37, 20990377
38, 21406266
39, 21188340
40, 21586736
41, 21352195
42, 21707384
43, 21419039
44, 21737635
45, 21448226
46, 21720520
47, 21441117
48, 21664448
49, 21389373
50, 21579366
51, 21293796
52, 21437799
53, 21165186
54, 21266853
55, 20988676
56, 21065014
57, 20785944
58, 20844993
59, 20568061
60, 20598476
61, 20318702
62, 20332956
63, 20057670
64, 20056946
65, 19772260
66, 19761270
67, 19485242
68, 19444263
69, 19172891
70, 19130063
71, 18861543
72, 18803770
73, 18539209
74, 18475628
75, 18219715
76, 18144923
77, 17902957
78, 17814045
79, 17570287
80, 17477357
81, 17250157
82, 17153119
83, 16935751
84, 16826717
85, 16622680
86, 16500815
87, 16298987
88, 16184845
89, 15987323
90, 15869496
91, 15682758
92, 15561815
93, 15386348
94, 15251675
95, 15071304
96, 14949508
97, 14779835
98, 14649301
99, 14482959
100, 14360910
101, 14192293
102, 14064904
103, 13907723
104, 13782964
105, 13633401
106, 13502149
107, 13351224
108, 13227086
109, 13083944
110, 12952528
111, 12806448
112, 12682931
113, 12545855
114, 12423087
115, 12283939
116, 12162573
117, 12030120
118, 11910727
119, 11781210
120, 11669355
121, 11538823
122, 11422348
123, 11296207
124, 11185509
125, 11056839
126, 10945232
127, 10821917
128, 10716568
129, 10602345
130, 10492737
131, 10375540
132, 10265462
133, 10152017
134, 10054004
135, 9936651
136, 9836554
137, 9732463
138, 9622639
139, 9527552
140, 9423512
141, 9323768
142, 9225325
143, 9126634
144, 9032329
145, 8934264
146, 8844914
147, 8743369
148, 8657765
149, 8558022
150, 8463108
151, 8369632
152, 8285541
153, 8193863
154, 8104138
155, 8026180
156, 7940859
157, 7850524
158, 7765046
159, 7685228
160, 7597224
161, 7524295
162, 7440481
163, 7364321
164, 7286868
165, 7200238
166, 7123885
167, 7050532
168, 6973838
169, 6902027
170, 6826105
171, 6750186
172, 6678058
173, 6613679
174, 6536706
175, 6467445
176, 6397894
177, 6334885
178, 6266032
179, 6190926
180, 6128966
181, 6067102
182, 5998718
183, 5934565
184, 5872492
185, 5809007
186, 5743821
187, 5684139
188, 5622768
189, 5561628
190, 5502648
191, 5444116
192, 5386555
193, 5329174
194, 5274545
195, 5210865
196, 5160858
197, 5102119
198, 5047968
199, 4998451
200, 4940365
201, 4886580
202, 4833459
203, 4784863
